trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t37.85845 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t37.85845 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t37.88579 lA True rA False pd1 2.241638 pd2 -1 eo1 0.2982436 eo2 0.4182706 pp1 (0.7, 0.5) pp2 (0.3, 0.5) gd1 (0.0, -0.5, 0.9) gd2 (0.0, 0.0, 0.0) go1 (27.0, 3.9, -22.4) go2 (0.0, 0.0, 0.0)
trial 0 t37.90524 lA True rA True pd1 2.272552 pd2 2.921646 eo1 0.4353276 eo2 0.5776851 pp1 (0.7, 0.4) pp2 (0.3, 0.5) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.2, 1.0) go1 (26.9, 4.6, -22.4) go2 (-26.1, 3.4, -22.6)
trial 0 t37.9276 lA True rA True pd1 3.448227 pd2 3.849487 eo1 0.5340239 eo2 0.6616166 pp1 (0.7, 0.4) pp2 (0.4, 0.4) gd1 (-0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (27.0, 5.1, -23.7) go2 (-26.2, 3.8, -23.1)
trial 0 t37.94986 lA True rA True pd1 4.616135 pd2 4.907639 eo1 0.6192108 eo2 0.7079862 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.1, 4.8, -23.5) go2 (-26.2, 3.4, -22.0)
trial 0 t37.97192 lA True rA True pd1 4.684708 pd2 4.737396 eo1 0.7050945 eo2 0.7551712 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.1, 4.8, -23.4) go2 (-26.2, 3.4, -22.5)
trial 0 t37.99399 lA True rA True pd1 4.542465 pd2 4.873978 eo1 0.7928674 eo2 0.8286391 pp1 (0.7, 0.4) pp2 (0.4, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.2, 4.8, -23.8) go2 (-26.3, 3.3, -22.3)
trial 0 t38.01647 lA True rA True pd1 3.880814 pd2 4.877823 eo1 0.8292906 eo2 0.8360601 pp1 (0.7, 0.4) pp2 (0.4, 0.4) gd1 (0.0, -0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.2, 4.6, -23.2) go2 (-26.3, 3.2, -22.0)
trial 0 t38.03841 lA True rA True pd1 3.289246 pd2 4.75351 eo1 0.8597656 eo2 0.8619987 pp1 (0.7, 0.4) pp2 (0.4, 0.4) gd1 (0.0, -0.2, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.2, 4.4, -22.8) go2 (-26.3, 3.1, -21.8)
trial 0 t38.0716 lA True rA True pd1 3.408768 pd2 4.753143 eo1 0.8840092 eo2 0.869116 pp1 (0.7, 0.4) pp2 (0.4, 0.4) gd1 (0.0, -0.2, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.2, 4.4, -22.7) go2 (-26.3, 3.1, -21.8)
trial 0 t38.09357 lA True rA True pd1 4.5047 pd2 4.51358 eo1 0.9168314 eo2 0.8779949 pp1 (0.7, 0.4) pp2 (0.3, 0.4) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (27.3, 4.6, -23.2) go2 (-26.2, 3.2, -22.0)
