trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t49.95741 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t49.95741 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t49.95741 lA True rA True pd1 4.46727 pd2 4.585068 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.4, -0.4, -27.9) go2 (-32.4, 2.0, -27.0)
trial 0 t49.99815 lA True rA True pd1 4.494156 pd2 4.569031 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.4, -28.0) go2 (-32.5, 1.9, -26.7)
trial 0 t50.01954 lA True rA True pd1 4.496628 pd2 4.568405 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.4, -28.0) go2 (-32.5, 1.9, -26.7)
trial 0 t50.04038 lA True rA True pd1 4.516357 pd2 4.562744 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.5, -27.5) go2 (-32.5, 1.9, -26.7)
trial 0 t50.0617 lA True rA True pd1 4.51825 pd2 4.568604 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.5, -27.4) go2 (-32.5, 1.9, -26.7)
trial 0 t50.08305 lA True rA True pd1 4.522675 pd2 4.568649 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.5, -27.4) go2 (-32.6, 1.9, -26.7)
trial 0 t50.104 lA True rA True pd1 4.5383 pd2 4.571304 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.5, -27.4) go2 (-32.6, 1.9, -26.7)
trial 0 t50.13566 lA True rA True pd1 4.540604 pd2 4.584503 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.6, -27.4) go2 (-32.6, 1.9, -26.6)
trial 0 t50.15671 lA True rA True pd1 4.549911 pd2 4.606903 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.6, -27.4) go2 (-32.6, 1.9, -26.6)
trial 0 t50.17801 lA True rA True pd1 4.552582 pd2 4.601395 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.6, -27.4) go2 (-32.6, 1.9, -26.6)
trial 0 t50.19912 lA True rA True pd1 4.552856 pd2 4.601791 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.6, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (34.5, -0.6, -27.4) go2 (-32.6, 1.9, -26.6)
