trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t26.49892 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t26.49892 lA True rA True pd1 3.36264 pd2 3.048935 eo1 0.9619741 eo2 0.7763374 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.5, -24.4)
trial 0 t26.52721 lA True rA True pd1 3.373245 pd2 3.053802 eo1 0.9669005 eo2 0.8068806 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.4, -24.4)
trial 0 t26.55549 lA True rA True pd1 3.372971 pd2 3.049103 eo1 0.9745486 eo2 0.8005433 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.4, -24.4)
trial 0 t26.57758 lA True rA True pd1 3.373886 pd2 3.049194 eo1 0.9745486 eo2 0.8005433 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.5, -24.4)
trial 0 t26.59991 lA True rA True pd1 3.363342 pd2 3.049057 eo1 0.9598897 eo2 0.8361873 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.1) go2 (-30.9, 0.5, -24.4)
trial 0 t26.62187 lA True rA True pd1 3.378387 pd2 3.048782 eo1 0.9701811 eo2 0.8411986 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.0) go2 (-30.9, 0.5, -24.4)
trial 0 t26.64416 lA True rA True pd1 3.377686 pd2 3.055161 eo1 0.9799206 eo2 0.8561199 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.0) go2 (-30.9, 0.5, -24.4)
trial 0 t26.66613 lA True rA True pd1 3.377426 pd2 3.045517 eo1 0.9817749 eo2 0.862409 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.0) go2 (-30.9, 0.5, -24.8)
trial 0 t26.68803 lA True rA True pd1 3.37822 pd2 3.035339 eo1 0.9674115 eo2 0.8561943 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.0) go2 (-30.9, 0.5, -24.8)
trial 0 t26.71032 lA True rA True pd1 3.377487 pd2 3.0354 eo1 0.972042 eo2 0.8503619 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.1) go2 (-30.9, 0.5, -24.8)
trial 0 t26.73221 lA True rA True pd1 3.370621 pd2 3.04541 eo1 0.9842514 eo2 0.8636256 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.1) go2 (-30.9, 0.5, -24.8)
trial 0 t26.75455 lA True rA True pd1 3.366745 pd2 3.050125 eo1 0.9854605 eo2 0.8610573 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.1) go2 (-30.9, 0.5, -24.8)
trial 0 t26.77654 lA True rA True pd1 3.34552 pd2 3.036362 eo1 0.9792934 eo2 0.8683485 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.1) go2 (-30.9, 0.5, -24.8)
trial 0 t26.79856 lA True rA True pd1 3.332138 pd2 3.034943 eo1 0.9897545 eo2 0.8731295 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.5, -24.8)
trial 0 t26.83203 lA True rA True pd1 3.31488 pd2 2.996796 eo1 0.9969824 eo2 0.8632684 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.5, -24.8)
trial 0 t26.85397 lA True rA True pd1 3.321396 pd2 2.995026 eo1 0.992774 eo2 0.867763 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.0, -0.4, 0.9) go1 (32.5, 5.8, -22.2) go2 (-30.9, 0.5, -24.9)
