trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t23.75585 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t23.75585 lA True rA True pd1 2.758316 pd2 2.7509 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.9) go2 (-30.9, -0.8, -24.4)
trial 0 t23.7829 lA True rA True pd1 2.763809 pd2 2.779083 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.9) go2 (-30.9, -0.9, -24.2)
trial 0 t23.80166 lA True rA True pd1 2.773117 pd2 2.782547 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.9) go2 (-30.9, -0.9, -24.2)
trial 0 t23.82257 lA True rA True pd1 2.765121 pd2 2.78772 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.9) go2 (-30.9, -0.9, -24.2)
trial 0 t23.85569 lA True rA True pd1 2.765244 pd2 2.787643 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.9, -0.9, -24.2)
trial 0 t23.87786 lA True rA True pd1 2.760422 pd2 2.787842 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.8, -0.9, -24.2)
trial 0 t23.89992 lA True rA True pd1 2.759781 pd2 2.804535 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.8, -0.9, -24.2)
trial 0 t23.92246 lA True rA True pd1 2.75119 pd2 2.817871 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.8, -0.9, -24.2)
trial 0 t23.94449 lA True rA True pd1 2.751434 pd2 2.804962 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.8, -0.9, -24.2)
trial 0 t23.96651 lA True rA True pd1 2.739471 pd2 2.80748 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.8, -0.9, -24.1)
trial 0 t23.98886 lA True rA True pd1 2.739365 pd2 2.807816 eo1 1 eo2 1 pp1 (0.5, 0.4) pp2 (0.5, 0.6) gd1 (0.0, -0.4, 0.9) gd2 (0.1, -0.4, 0.9) go1 (33.4, 4.9, -22.8) go2 (-30.8, -0.9, -24.1)
