trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t77.44481 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t77.44481 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t77.47201 lA True rA True pd1 3.530853 pd2 3.332657 eo1 0.9557033 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 1.5, -19.4) go2 (-32.5, 2.6, -23.1)
trial 0 t77.49529 lA True rA True pd1 3.48851 pd2 3.452133 eo1 0.9523438 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 1.1, -18.3) go2 (-32.5, 2.6, -23.1)
trial 0 t77.51775 lA True rA True pd1 3.471725 pd2 3.403336 eo1 0.9472822 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 1.1, -18.4) go2 (-32.5, 2.6, -23.1)
trial 0 t77.53974 lA True rA True pd1 3.473969 pd2 3.386063 eo1 0.9545295 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.3, 1.1, -18.3) go2 (-32.5, 2.6, -23.1)
trial 0 t77.56184 lA True rA True pd1 3.457245 pd2 3.367599 eo1 0.962767 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 1.1, -18.4) go2 (-32.5, 2.6, -23.1)
trial 0 t77.58384 lA True rA True pd1 3.443695 pd2 3.356293 eo1 0.9772479 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 1.2, -18.4) go2 (-32.5, 2.6, -23.1)
trial 0 t77.60632 lA True rA True pd1 3.415451 pd2 3.324875 eo1 0.9669554 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 1.3, -18.6) go2 (-32.5, 2.6, -23.1)
trial 0 t77.62843 lA True rA True pd1 3.331619 pd2 3.246857 eo1 0.9689683 eo2 1 pp1 (0.5, 0.4) pp2 (0.6, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.4, 1.3, -18.6) go2 (-32.5, 2.6, -23.1)
