trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.72349 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.72349 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.75091 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.08557673 pp1 (0.6, 0.7) pp2 (0.7, 0.5) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.77092 lA True rA False pd1 1.063629 pd2 -1 eo1 0.2989731 eo2 0.2583843 pp1 (0.5, 0.6) pp2 (0.4, 0.4) gd1 (-0.2, -0.5, 0.9) gd2 (0.0, 0.0, 0.0) go1 (32.2, -2.6, -16.5) go2 (0.0, 0.0, 0.0)
trial 0 t14.79378 lA False rA True pd1 -1 pd2 1.9841 eo1 0.2989731 eo2 0.2583843 pp1 (0.5, 0.6) pp2 (0.4, 0.4) gd1 (0.0, 0.0, 0.0) gd2 (-0.1, -0.2, 1.0) go1 (0.0, 0.0, 0.0) go2 (-26.9, 5.4, -24.3)
trial 0 t14.81582 lA True rA False pd1 1.456833 pd2 -1 eo1 0.4540252 eo2 0.5001837 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.0, -0.2, 1.0) gd2 (0.0, 0.0, 0.0) go1 (32.5, 5.2, -37.3) go2 (0.0, 0.0, 0.0)
trial 0 t14.83823 lA False rA True pd1 -1 pd2 1.085922 eo1 0.5219041 eo2 0.5598633 pp1 (0.5, 0.5) pp2 (0.4, 0.4) gd1 (0.0, 0.0, 0.0) gd2 (0.2, -0.3, 0.9) go1 (0.0, 0.0, 0.0) go2 (-28.4, 9.5, -37.6)
trial 0 t14.86017 lA True rA True pd1 1.618866 pd2 1.663452 eo1 0.5959651 eo2 0.6579195 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (0.0, -0.2, 1.0) gd2 (0.2, -0.3, 0.9) go1 (32.5, 5.1, -37.4) go2 (-28.0, 7.7, -25.6)
trial 0 t14.88263 lA True rA True pd1 2.790298 pd2 1.569885 eo1 0.62574 eo2 0.7027761 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, -0.2, 1.0) gd2 (0.2, -0.3, 0.9) go1 (32.9, 2.9, -26.6) go2 (-28.2, 7.7, -25.2)
trial 0 t14.90432 lA True rA True pd1 3.315994 pd2 1.659668 eo1 0.6640379 eo2 0.7381248 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, -0.1, 1.0) gd2 (0.3, -0.3, 0.9) go1 (32.9, 2.9, -26.9) go2 (-28.3, 7.9, -26.4)
trial 0 t14.92699 lA True rA True pd1 3.224274 pd2 1.966141 eo1 0.6881039 eo2 0.7617254 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, -0.1, 1.0) gd2 (0.2, -0.3, 0.9) go1 (32.9, 2.8, -26.4) go2 (-28.2, 7.6, -25.3)
trial 0 t14.95935 lA True rA True pd1 3.342148 pd2 3.22525 eo1 0.6955206 eo2 0.7782552 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (-0.1, -0.1, 1.0) gd2 (0.2, -0.2, 1.0) go1 (32.9, 2.8, -26.5) go2 (-28.2, 7.6, -25.0)
trial 0 t14.98174 lA True rA True pd1 3.647461 pd2 2.387894 eo1 0.7438837 eo2 0.8079038 pp1 (0.5, 0.5) pp2 (0.4, 0.3) gd1 (0.0, -0.1, 1.0) gd2 (0.3, -0.2, 0.9) go1 (32.9, 2.8, -26.6) go2 (-28.1, 7.6, -25.3)
