trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t43.99667 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t43.99667 lA True rA True pd1 3.882095 pd2 4.015976 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.6, 1.4, -24.0) go2 (-30.8, 3.9, -26.2)
trial 0 t44.02336 lA True rA True pd1 3.692703 pd2 3.869797 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.5, 1.3, -24.2) go2 (-30.8, 3.7, -26.2)
trial 0 t44.04252 lA True rA True pd1 3.617493 pd2 3.76445 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.6) go2 (-30.8, 3.4, -25.9)
trial 0 t44.06329 lA True rA True pd1 3.618439 pd2 3.724167 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.6) go2 (-30.8, 3.4, -25.9)
trial 0 t44.0851 lA True rA True pd1 3.578201 pd2 3.735947 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.6) go2 (-30.8, 3.4, -25.9)
trial 0 t44.10772 lA True rA True pd1 3.533371 pd2 3.726486 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.6) go2 (-30.9, 3.4, -25.9)
trial 0 t44.12974 lA True rA True pd1 3.491898 pd2 3.732071 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.6) go2 (-30.9, 3.4, -25.9)
trial 0 t44.15257 lA True rA True pd1 3.488785 pd2 3.735229 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.5) go2 (-30.9, 3.4, -25.9)
trial 0 t44.1852 lA True rA True pd1 3.479599 pd2 3.734421 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.5, 0.4) gd1 (0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 1.2, -24.5) go2 (-30.9, 3.4, -25.9)
