trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t28.87236 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t28.87236 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t28.89236 lA True rA True pd1 3.996262 pd2 4.013397 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.7, -0.4, -28.5) go2 (-30.4, 2.6, -29.4)
trial 0 t28.918 lA True rA True pd1 3.926788 pd2 3.891983 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (35.8, -0.5, -28.7) go2 (-30.4, 2.3, -28.8)
trial 0 t28.93984 lA True rA True pd1 3.865143 pd2 3.904297 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (35.8, -0.5, -28.6) go2 (-30.4, 2.4, -28.9)
trial 0 t28.9618 lA True rA True pd1 4.035995 pd2 3.908234 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (35.8, -0.5, -28.7) go2 (-30.3, 2.4, -29.0)
trial 0 t28.98394 lA True rA True pd1 3.822723 pd2 3.993378 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (35.9, -0.7, -28.5) go2 (-30.3, 2.2, -28.8)
trial 0 t29.00637 lA True rA True pd1 3.982651 pd2 3.978119 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (35.9, -0.7, -28.4) go2 (-30.3, 2.2, -28.8)
trial 0 t29.02942 lA True rA True pd1 3.984741 pd2 3.962662 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (35.9, -0.7, -28.4) go2 (-30.2, 2.2, -28.5)
trial 0 t29.05088 lA True rA True pd1 4.057648 pd2 3.917023 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (36.0, -0.7, -28.3) go2 (-30.2, 2.2, -28.6)
trial 0 t29.07356 lA True rA True pd1 3.924454 pd2 3.863068 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (36.0, -0.8, -28.3) go2 (-30.2, 2.2, -28.8)
trial 0 t29.09549 lA True rA True pd1 3.958282 pd2 3.885315 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, -0.1, 1.0) gd2 (0.1, 0.0, 1.0) go1 (36.1, -0.9, -28.3) go2 (-30.2, 2.2, -29.0)
trial 0 t29.11738 lA True rA True pd1 3.976379 pd2 3.951462 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, -0.1, 1.0) gd2 (0.1, 0.0, 1.0) go1 (36.1, -0.9, -28.3) go2 (-30.1, 2.2, -29.1)
trial 0 t29.1396 lA True rA True pd1 4.036606 pd2 3.946274 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, -0.1, 1.0) gd2 (0.1, 0.0, 1.0) go1 (36.1, -0.9, -28.3) go2 (-30.1, 2.2, -29.1)
trial 0 t29.16181 lA True rA True pd1 4.046921 pd2 4.020279 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (0.1, 0.0, 1.0) go1 (36.1, -0.7, -28.5) go2 (-30.1, 2.3, -29.1)
trial 0 t29.19501 lA True rA True pd1 4.027908 pd2 3.999924 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.6, -0.5, -28.5) go2 (-30.5, 2.7, -29.6)
trial 0 t29.21723 lA True rA True pd1 3.972565 pd2 3.958206 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.2, -28.6) go2 (-30.7, 2.8, -29.6)
trial 0 t29.23948 lA True rA True pd1 4.07666 pd2 3.878876 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.4, -0.3, -28.7) go2 (-30.7, 2.8, -29.6)
trial 0 t29.26182 lA True rA True pd1 4.201477 pd2 3.872864 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.4, -0.5, -28.5) go2 (-30.7, 2.7, -29.6)
trial 0 t29.28393 lA True rA True pd1 4.028336 pd2 3.848572 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.4, -0.5, -28.4) go2 (-30.7, 2.6, -29.6)
trial 0 t29.30578 lA True rA True pd1 4.08432 pd2 3.906708 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.5, -0.5, -28.4) go2 (-30.7, 2.5, -29.2)
trial 0 t29.32818 lA True rA True pd1 4.044449 pd2 3.872971 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.5, -0.4, -28.6) go2 (-30.7, 2.7, -29.6)
trial 0 t29.35036 lA True rA True pd1 4.076385 pd2 3.812744 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.5, -0.4, -28.6) go2 (-30.7, 2.7, -29.6)
trial 0 t29.3727 lA True rA True pd1 4.002609 pd2 3.8125 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.5, -0.4, -28.6) go2 (-30.7, 2.7, -29.6)
trial 0 t29.39465 lA True rA True pd1 4.015244 pd2 3.876648 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.5, -0.6, -28.2) go2 (-30.7, 2.6, -29.4)
trial 0 t29.41701 lA True rA True pd1 4.028748 pd2 3.726868 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.5, -0.6, -28.4) go2 (-30.7, 2.5, -29.3)
trial 0 t29.43897 lA True rA True pd1 3.971481 pd2 3.70636 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.4, -0.6, -28.3) go2 (-30.7, 2.4, -29.2)
trial 0 t29.46151 lA True rA True pd1 3.975586 pd2 3.706406 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.4, -0.7, -28.2) go2 (-30.7, 2.4, -29.1)
trial 0 t29.48386 lA True rA True pd1 3.875153 pd2 3.643036 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.4, -0.8, -28.2) go2 (-30.8, 2.5, -29.9)
trial 0 t29.5059 lA True rA True pd1 3.879425 pd2 3.709824 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.4, -0.8, -28.2) go2 (-30.8, 2.5, -29.9)
trial 0 t29.5393 lA True rA True pd1 3.824249 pd2 3.692245 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.4, -0.6, -28.4) go2 (-30.8, 2.6, -30.0)
trial 0 t29.56164 lA True rA True pd1 3.861099 pd2 3.729385 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.3, -0.8, -28.2) go2 (-30.8, 2.6, -30.0)
trial 0 t29.58337 lA True rA True pd1 3.831055 pd2 3.622818 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.2, -0.8, -28.2) go2 (-30.9, 2.5, -30.1)
trial 0 t29.60545 lA True rA True pd1 3.695419 pd2 3.759689 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.2, -0.6, -28.4) go2 (-30.9, 2.6, -30.1)
trial 0 t29.62762 lA True rA True pd1 3.850494 pd2 3.651794 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.1, -0.9, -27.4) go2 (-31.0, 2.7, -30.4)
trial 0 t29.65012 lA True rA True pd1 3.809387 pd2 3.66835 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, -0.1, 1.0) go1 (35.1, -0.7, -28.1) go2 (-31.0, 2.6, -30.3)
trial 0 t29.672 lA True rA True pd1 3.739212 pd2 3.692047 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.2, -0.5, -28.6) go2 (-30.8, 2.7, -30.2)
trial 0 t29.69431 lA True rA True pd1 3.67659 pd2 3.564529 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.2, -0.6, -28.5) go2 (-30.9, 2.7, -30.3)
trial 0 t29.71592 lA True rA True pd1 3.787201 pd2 3.598267 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.2, -0.7, -28.2) go2 (-30.9, 2.7, -30.3)
trial 0 t29.73821 lA True rA True pd1 3.840836 pd2 3.613388 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.2, -0.6, -28.3) go2 (-30.9, 2.7, -30.3)
trial 0 t29.76023 lA True rA True pd1 3.782974 pd2 3.613297 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.2, -0.6, -28.4) go2 (-30.9, 2.7, -30.3)
trial 0 t29.78215 lA True rA True pd1 3.776398 pd2 3.598099 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.2, -0.6, -28.4) go2 (-30.9, 2.7, -30.2)
trial 0 t29.80483 lA True rA True pd1 3.750839 pd2 3.685165 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.1, -0.6, -28.4) go2 (-30.9, 2.7, -30.1)
trial 0 t29.82703 lA True rA True pd1 3.750641 pd2 3.684753 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.1, -0.6, -28.4) go2 (-30.9, 2.7, -30.1)
trial 0 t29.86055 lA True rA True pd1 3.732498 pd2 3.663147 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.1, -0.6, -28.4) go2 (-30.9, 2.7, -30.3)
trial 0 t29.88307 lA True rA True pd1 3.695374 pd2 3.615738 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.1, -0.6, -28.4) go2 (-30.9, 2.7, -30.3)
trial 0 t29.9057 lA True rA True pd1 3.711121 pd2 3.621246 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.1, -0.6, -28.4) go2 (-30.9, 2.7, -30.3)
trial 0 t29.92799 lA True rA True pd1 3.723938 pd2 3.657501 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.1, -0.6, -28.3) go2 (-30.9, 2.7, -30.3)
trial 0 t29.95013 lA True rA True pd1 3.746735 pd2 3.722717 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.6, -28.5) go2 (-30.7, 2.4, -29.3)
trial 0 t29.97281 lA True rA True pd1 3.639221 pd2 3.704498 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.6, -28.5) go2 (-30.8, 2.5, -29.5)
trial 0 t29.99514 lA True rA True pd1 3.761475 pd2 3.752579 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.6, -28.5) go2 (-30.8, 2.5, -29.6)
trial 0 t30.01723 lA True rA True pd1 3.788773 pd2 3.719772 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.6, -28.4) go2 (-30.8, 2.5, -29.6)
trial 0 t30.03922 lA True rA True pd1 3.774231 pd2 3.731491 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.6, -28.4) go2 (-30.8, 2.5, -29.5)
trial 0 t30.06149 lA True rA True pd1 3.773972 pd2 3.748978 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.3) go2 (-30.8, 2.5, -29.5)
trial 0 t30.08356 lA True rA True pd1 3.775299 pd2 3.750229 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.3) go2 (-30.8, 2.5, -29.6)
trial 0 t30.10495 lA True rA True pd1 3.775055 pd2 3.729965 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.3) go2 (-30.8, 2.5, -29.6)
trial 0 t30.12701 lA True rA True pd1 3.774719 pd2 3.730133 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.3) go2 (-30.8, 2.5, -29.6)
trial 0 t30.1505 lA True rA True pd1 3.774734 pd2 3.715851 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.3) go2 (-30.8, 2.5, -29.6)
trial 0 t30.17237 lA True rA True pd1 3.784134 pd2 3.705688 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.4) go2 (-30.8, 2.5, -29.6)
trial 0 t30.1946 lA True rA True pd1 3.797897 pd2 3.661469 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.4) go2 (-30.8, 2.5, -29.6)
trial 0 t30.2169 lA True rA True pd1 3.823273 pd2 3.661423 eo1 1 eo2 1 pp1 (0.4, 0.6) pp2 (0.5, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (35.3, -0.7, -28.4) go2 (-30.8, 2.5, -29.6)
