trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.08871 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.08871 lA True rA True pd1 3.53804 pd2 3.35347 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.4, 0.5) gd1 (0.0, -0.1, 1.0) gd2 (0.1, -0.2, 1.0) go1 (32.3, -4.6, -27.4) go2 (-29.6, 3.2, -25.9)
trial 0 t19.10871 lA True rA True pd1 3.465912 pd2 3.251709 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.4, 0.5) gd1 (0.0, -0.1, 1.0) gd2 (0.1, -0.2, 1.0) go1 (32.3, -4.6, -27.4) go2 (-29.6, 3.2, -26.0)
trial 0 t19.13579 lA True rA True pd1 3.308563 pd2 3.224014 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (0.0, -0.1, 1.0) gd2 (0.1, -0.1, 1.0) go1 (31.9, -3.9, -28.0) go2 (-29.9, 3.4, -25.3)
trial 0 t19.15728 lA True rA True pd1 3.286392 pd2 3.203842 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.7, -28.2) go2 (-30.2, 3.5, -25.3)
trial 0 t19.178 lA True rA True pd1 3.26825 pd2 3.154999 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -28.0) go2 (-30.2, 3.5, -25.2)
trial 0 t19.199 lA True rA True pd1 3.285049 pd2 3.158188 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.22042 lA True rA True pd1 3.209015 pd2 3.149811 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.25302 lA True rA True pd1 3.196579 pd2 3.147995 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.2748 lA True rA True pd1 3.185715 pd2 3.139572 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.29692 lA True rA True pd1 3.166275 pd2 3.12056 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.3186 lA True rA True pd1 3.133286 pd2 3.104507 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.34101 lA True rA True pd1 3.113373 pd2 3.076981 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.36327 lA True rA True pd1 3.093307 pd2 3.066025 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -27.9) go2 (-30.2, 3.5, -25.3)
trial 0 t19.38484 lA True rA True pd1 3.071884 pd2 3.043961 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.7, -28.2) go2 (-30.2, 3.5, -25.3)
trial 0 t19.40701 lA True rA True pd1 3.155869 pd2 3.029907 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -28.1) go2 (-30.2, 3.5, -25.3)
trial 0 t19.42897 lA True rA True pd1 3.134521 pd2 2.952484 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.7, -3.8, -28.3) go2 (-30.3, 3.6, -25.1)
trial 0 t19.45091 lA True rA True pd1 3.064926 pd2 2.985229 eo1 1 eo2 1 pp1 (0.6, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (31.6, -3.6, -28.4) go2 (-30.4, 3.6, -25.1)
trial 0 t19.47318 lA True rA True pd1 3.036133 pd2 2.954025 eo1 1 eo2 1 pp1 (0.6, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (-0.1, 0.0, 1.0) go1 (31.5, -3.5, -28.4) go2 (-30.5, 3.6, -25.2)
trial 0 t19.49516 lA True rA True pd1 3.092621 pd2 2.944046 eo1 1 eo2 1 pp1 (0.6, 0.7) pp2 (0.5, 0.4) gd1 (-0.1, 0.0, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (31.3, -3.7, -28.6) go2 (-30.5, 3.5, -25.8)
trial 0 t19.51773 lA True rA True pd1 3.123062 pd2 2.972992 eo1 0.7985175 eo2 1 pp1 (0.6, 0.8) pp2 (0.5, 0.5) gd1 (-0.2, -0.2, 1.0) gd2 (-0.1, -0.2, 1.0) go1 (31.1, -4.5, -28.4) go2 (-30.5, 2.9, -25.6)
trial 0 t19.54033 lA True rA True pd1 3.147156 pd2 2.917419 eo1 0.5530205 eo2 0.9118754 pp1 (0.6, 0.8) pp2 (0.5, 0.5) gd1 (-0.2, -0.4, 0.9) gd2 (-0.1, -0.4, 0.9) go1 (31.0, -5.2, -28.6) go2 (-30.5, 2.6, -26.1)
trial 0 t19.57348 lA True rA True pd1 3.180725 pd2 2.945984 eo1 0.3565131 eo2 0.8429397 pp1 (0.6, 0.8) pp2 (0.5, 0.5) gd1 (-0.2, -0.4, 0.9) gd2 (-0.1, -0.4, 0.9) go1 (30.9, -5.4, -28.9) go2 (-30.5, 2.3, -26.1)
trial 0 t19.59546 lA True rA True pd1 3.14415 pd2 2.80394 eo1 0.07810121 eo2 0.6892908 pp1 (0.6, 0.9) pp2 (0.5, 0.6) gd1 (-0.2, -0.6, 0.8) gd2 (-0.1, -0.5, 0.8) go1 (30.7, -5.9, -29.0) go2 (-30.7, 1.9, -26.2)
trial 0 t19.61753 lA True rA True pd1 3.174683 pd2 2.731354 eo1 0 eo2 0.4141346 pp1 (0.6, 0.9) pp2 (0.5, 0.6) gd1 (-0.2, -0.7, 0.6) gd2 (-0.1, -0.6, 0.8) go1 (30.5, -6.3, -29.2) go2 (-30.6, 1.6, -26.8)
trial 0 t19.64017 lA False rA True pd1 -1 pd2 2.970123 eo1 0 eo2 0.4141346 pp1 (-1.0, -1.0) pp2 (0.5, 0.6) gd1 (0.0, 0.0, 0.0) gd2 (-0.1, -0.7, 0.7) go1 (0.0, 0.0, 0.0) go2 (-30.6, 1.3, -27.0)
trial 0 t19.66372 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.2860194 pp1 (-1.0, -1.0) pp2 (0.5, 0.6) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.68463 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.02181195 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.7067 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.02181195 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.72819 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.75049 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.77268 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.79469 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.81669 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.4, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.84964 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (0.6, 0.1) pp2 (0.4, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.87163 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.005199454 pp1 (-1.0, -1.0) pp2 (0.4, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.89403 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.01027132 pp1 (0.6, 0.1) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.91606 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0.01129118 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.93869 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.96153 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.98385 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.00626 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (0.6, 0.1) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.02868 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (0.6, 0.1) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.05148 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (0.6, 0.1) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.07396 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.09559 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.11812 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (0.6, 0.1) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.14078 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (0.6, 0.1) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t20.16287 lA False rA False pd1 -1 pd2 -1 eo1 0 eo2 0 pp1 (-1.0, -1.0) pp2 (0.5, 0.7) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
