trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.45035 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.45035 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t14.45035 lA True rA True pd1 2.689178 pd2 2.792709 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, -5.9, -21.8) go2 (-32.2, 1.1, -24.0)
trial 0 t14.48343 lA True rA True pd1 2.729233 pd2 2.788773 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, -5.9, -21.8) go2 (-32.2, 1.0, -24.0)
trial 0 t14.50287 lA True rA True pd1 2.735229 pd2 2.789993 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, -5.9, -21.8) go2 (-32.2, 1.0, -24.0)
trial 0 t14.52337 lA True rA True pd1 2.734512 pd2 2.791901 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, -5.9, -21.8) go2 (-32.2, 1.0, -24.0)
trial 0 t14.55632 lA True rA True pd1 2.733002 pd2 2.718277 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.5, -5.8, -22.1) go2 (-32.2, 1.0, -24.0)
trial 0 t14.57859 lA True rA True pd1 2.752258 pd2 2.777771 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.8, -22.2) go2 (-32.0, 1.0, -24.0)
trial 0 t14.60094 lA True rA True pd1 2.743607 pd2 2.757385 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.1) go2 (-32.0, 0.9, -23.9)
trial 0 t14.62273 lA True rA True pd1 2.739197 pd2 2.742477 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.1) go2 (-32.0, 0.9, -24.0)
trial 0 t14.64492 lA True rA True pd1 2.728775 pd2 2.740952 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.0) go2 (-32.0, 0.9, -24.0)
trial 0 t14.66727 lA True rA True pd1 2.734253 pd2 2.732544 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.0) go2 (-32.0, 0.9, -24.0)
trial 0 t14.68916 lA True rA True pd1 2.731659 pd2 2.730957 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.0) go2 (-32.0, 0.9, -23.9)
trial 0 t14.71158 lA True rA True pd1 2.728912 pd2 2.731049 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.0) go2 (-32.0, 0.9, -23.9)
trial 0 t14.73366 lA True rA True pd1 2.731583 pd2 2.731171 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.0) go2 (-32.0, 0.9, -23.9)
trial 0 t14.75596 lA True rA True pd1 2.731522 pd2 2.705063 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -22.0) go2 (-32.0, 0.9, -23.9)
trial 0 t14.77811 lA True rA True pd1 2.731812 pd2 2.674881 eo1 1 eo2 1 pp1 (0.5, 0.7) pp2 (0.5, 0.5) gd1 (0.1, 0.1, 1.0) gd2 (0.0, 0.0, 1.0) go1 (32.7, -5.9, -21.9) go2 (-32.0, 0.9, -23.9)
