trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t18.17825 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t18.17825 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t18.19825 lA True rA True pd1 3.860352 pd2 4.006775 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.7, -20.9) go2 (-28.5, 6.2, -23.3)
trial 0 t18.22427 lA True rA True pd1 3.831329 pd2 4.008224 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.6, -20.9) go2 (-28.5, 6.0, -23.0)
trial 0 t18.24298 lA True rA True pd1 3.842743 pd2 4.013794 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.6, -20.9) go2 (-28.5, 6.0, -22.9)
trial 0 t18.26543 lA True rA True pd1 3.876724 pd2 4.016235 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.6, -20.9) go2 (-28.5, 5.9, -22.8)
trial 0 t18.28733 lA True rA True pd1 3.886475 pd2 4.0177 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.5, -20.8) go2 (-28.5, 5.9, -22.8)
trial 0 t18.30924 lA True rA True pd1 3.928452 pd2 4.016464 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.0, -19.6) go2 (-28.5, 5.9, -22.8)
trial 0 t18.33141 lA True rA True pd1 3.938416 pd2 4.017685 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.0, -19.5) go2 (-28.5, 5.9, -22.8)
trial 0 t18.35369 lA True rA True pd1 3.937393 pd2 4.019562 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.0, -19.5) go2 (-28.5, 5.9, -22.8)
trial 0 t18.38719 lA True rA True pd1 3.935623 pd2 4.012268 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.0, -19.5) go2 (-28.5, 5.9, -22.7)
trial 0 t18.4094 lA True rA True pd1 3.925308 pd2 4.00708 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.0, -19.5) go2 (-28.5, 5.8, -22.6)
trial 0 t18.43209 lA True rA True pd1 3.948837 pd2 4.008087 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.1, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 2.0, -19.5) go2 (-28.5, 5.8, -22.6)
trial 0 t18.45403 lA True rA True pd1 3.836304 pd2 4.078201 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.1, 1.0) go1 (27.5, 1.9, -20.3) go2 (-28.3, 5.3, -22.1)
trial 0 t18.47601 lA True rA True pd1 3.789154 pd2 4.061981 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.6, 1.4, -19.1) go2 (-28.2, 5.1, -21.9)
trial 0 t18.4987 lA True rA True pd1 3.922546 pd2 4.069672 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.6, 1.4, -19.0) go2 (-28.3, 5.1, -22.1)
trial 0 t18.52031 lA True rA True pd1 3.922791 pd2 4.029419 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.0) go2 (-28.3, 5.1, -22.1)
trial 0 t18.54249 lA True rA True pd1 3.902084 pd2 4.064392 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.3, -19.0) go2 (-28.3, 5.1, -22.0)
trial 0 t18.56454 lA True rA True pd1 3.923187 pd2 4.044464 eo1 1 eo2 1 pp1 (0.7, 0.4) pp2 (0.4, 0.3) gd1 (-0.1, 0.0, 1.0) gd2 (0.1, 0.0, 1.0) go1 (27.7, 1.4, -19.0) go2 (-28.3, 5.1, -22.1)
