trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.65281 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.65281 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t19.68098 lA True rA True pd1 5.005646 pd2 5.011383 eo1 0.9882753 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.3, -25.3) go2 (-34.4, 2.0, -31.1)
trial 0 t19.70068 lA True rA True pd1 4.991638 pd2 4.98938 eo1 0.9945825 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.0, -31.2)
trial 0 t19.72271 lA True rA True pd1 4.98381 pd2 4.985748 eo1 0.9937015 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.3)
trial 0 t19.74514 lA True rA True pd1 4.9841 pd2 4.939957 eo1 0.9946762 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.3)
trial 0 t19.76698 lA True rA True pd1 4.960632 pd2 4.937286 eo1 0.9941612 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.3)
trial 0 t19.78924 lA True rA True pd1 4.95047 pd2 4.927444 eo1 0.9944264 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.3)
trial 0 t19.81177 lA True rA True pd1 4.919601 pd2 4.924408 eo1 0.996693 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.4)
trial 0 t19.8336 lA True rA True pd1 4.910965 pd2 4.8918 eo1 0.9951543 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.4)
trial 0 t19.85586 lA True rA True pd1 4.855484 pd2 4.859528 eo1 0.9927958 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.4)
trial 0 t19.87816 lA True rA True pd1 4.801529 pd2 4.819229 eo1 0.9970744 eo2 1 pp1 (0.6, 0.5) pp2 (0.6, 0.5) gd1 (0.1, -0.1, 1.0) gd2 (-0.1, -0.1, 1.0) go1 (30.0, 1.4, -25.3) go2 (-34.4, 2.1, -31.5)
