trial 0 t0 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t55.31429 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t55.31429 lA False rA False pd1 0 pd2 0 eo1 0 eo2 0 pp1 (0.0, 0.0) pp2 (0.0, 0.0) gd1 (0.0, 0.0, 0.0) gd2 (0.0, 0.0, 0.0) go1 (0.0, 0.0, 0.0) go2 (0.0, 0.0, 0.0)
trial 0 t55.31429 lA True rA True pd1 2.32692 pd2 2.495575 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.4, 1.0, -30.6) go2 (-28.8, 2.0, -28.4)
trial 0 t55.34866 lA True rA True pd1 2.411972 pd2 2.481659 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.4, 0.9, -30.6) go2 (-28.8, 2.0, -28.4)
trial 0 t55.37598 lA True rA True pd1 2.420044 pd2 2.500305 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.4, 0.9, -30.6) go2 (-28.8, 2.0, -28.4)
trial 0 t55.39709 lA True rA True pd1 2.433853 pd2 2.521271 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.4, 0.9, -30.6) go2 (-28.8, 2.0, -28.4)
trial 0 t55.41885 lA True rA True pd1 2.507706 pd2 2.610428 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 0.9, -30.5) go2 (-28.8, 2.0, -28.4)
trial 0 t55.43974 lA True rA True pd1 2.507523 pd2 2.632889 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (0.0, 0.0, 1.0) gd2 (0.0, 0.0, 1.0) go1 (33.4, 0.9, -30.5) go2 (-28.8, 2.0, -28.4)
trial 0 t55.46118 lA True rA True pd1 2.598679 pd2 2.785431 eo1 1 eo2 1 pp1 (0.5, 0.5) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.3, 0.9, -30.6) go2 (-28.9, 2.0, -28.4)
trial 0 t55.48226 lA True rA True pd1 2.626129 pd2 2.849655 eo1 1 eo2 1 pp1 (0.5, 0.6) pp2 (0.4, 0.5) gd1 (-0.1, 0.1, 1.0) gd2 (0.0, 0.1, 1.0) go1 (33.2, 0.9, -30.5) go2 (-28.9, 2.0, -28.6)
